owner,study,year,trt_id,trt_n,trt_var
rosen lab,esn-nni,2020,15,n.7,russet burbank
rosen lab,esn-nni,2020,2,n.10,russet burbank
rosen lab,esn-nni,2020,3,n.11,russet burbank
rosen lab,esn-nni,2020,6,n.13,russet burbank
rosen lab,esn-nni,2020,1,n.1,russet burbank
rosen lab,esn-nni,2020,8,n.15,russet burbank
rosen lab,esn-nni,2020,7,n.14,russet burbank
rosen lab,esn-nni,2020,16,n.8,russet burbank
rosen lab,esn-nni,2020,17,n.9,russet burbank
rosen lab,esn-nni,2020,10,n.2,russet burbank
rosen lab,esn-nni,2020,5,n.12,russet burbank
rosen lab,esn-nni,2020,14,n.6,russet burbank
rosen lab,esn-nni,2020,11,n.3,russet burbank
rosen lab,esn-nni,2020,12,n.4,russet burbank
rosen lab,esn-nni,2020,9,n.16,russet burbank
rosen lab,esn-nni,2020,13,n.5,russet burbank
rosen lab,esn-nni,2020,4,n.11.1,russet burbank
rosen lab,sanjay,2019,3,n.a,mn13142
rosen lab,sanjay,2019,1,n.a,clearwater
rosen lab,sanjay,2019,4,n.a,russet burbank
rosen lab,sanjay,2019,5,n.a,umatilla
rosen lab,sanjay,2019,2,n.a,lamoka
rosen lab,sanjay,2019,14,n.c,russet burbank
rosen lab,sanjay,2019,15,n.c,umatilla
rosen lab,sanjay,2019,11,n.c,clearwater
rosen lab,sanjay,2019,12,n.c,lamoka
rosen lab,sanjay,2019,13,n.c,mn13142
rosen lab,sanjay,2019,9,n.b,russet burbank
rosen lab,sanjay,2019,7,n.b,lamoka
rosen lab,sanjay,2019,10,n.b,umatilla
rosen lab,sanjay,2019,8,n.b,mn13142
rosen lab,sanjay,2019,6,n.b,clearwater
rosen lab,nni,2019,6,n.6,russet burbank
rosen lab,nni,2019,2,n.2,russet burbank
rosen lab,nni,2019,5,n.5,russet burbank
rosen lab,nni,2019,4,n.4,russet burbank
rosen lab,nni,2019,3,n.3,russet burbank
rosen lab,nni,2019,1,n.1,russet burbank
rosen lab,nni,2019,7,n.7,russet burbank
rosen lab,nni,2019,8,n.8,russet burbank
rosen lab,sanjay,2018,17,n.c,russet burbank
rosen lab,sanjay,2018,13,n.c,clearwater
rosen lab,sanjay,2018,18,n.c,umatilla
rosen lab,sanjay,2018,15,n.c,lamoka
rosen lab,sanjay,2018,16,n.c,mn13142
rosen lab,sanjay,2018,14,n.c,ivory russet
rosen lab,sanjay,2018,5,n.a,russet burbank
rosen lab,sanjay,2018,1,n.a,clearwater
rosen lab,sanjay,2018,3,n.a,lamoka
rosen lab,sanjay,2018,2,n.a,ivory russet
rosen lab,sanjay,2018,4,n.a,mn13142
rosen lab,sanjay,2018,6,n.a,umatilla
rosen lab,sanjay,2018,8,n.b,ivory russet
rosen lab,sanjay,2018,9,n.b,lamoka
rosen lab,sanjay,2018,7,n.b,clearwater
rosen lab,sanjay,2018,12,n.b,umatilla
rosen lab,sanjay,2018,10,n.b,mn13142
rosen lab,sanjay,2018,11,n.b,russet burbank
rosen lab,chloro,2016,2,n.1,russet burbank
rosen lab,chloro,2016,7,n.4,norland
rosen lab,chloro,2016,8,n.4,russet burbank
rosen lab,chloro,2016,5,n.3,norland
rosen lab,chloro,2016,4,n.2,russet burbank
rosen lab,chloro,2016,3,n.2,norland
rosen lab,chloro,2016,6,n.3,russet burbank
rosen lab,chloro,2016,1,n.1,norland
rosen lab,vxn,2015,5,n.2,easton
rosen lab,vxn,2015,7,n.3,dakota russet
