study,location,variety,rate_n_kgha,Date,W,N
Bohman,Minnesota,Russet Burbank,201.75286518436502,1991-06-12,1.0763775579264825,4.16499987098906
Bohman,Minnesota,Russet Burbank,0,1991-06-24,1.17325159810526,2.5277990950447777
Bohman,Minnesota,Russet Burbank,134.50191012291,1991-06-24,2.2603925942356016,3.708844875652675
Bohman,Minnesota,Russet Burbank,179.33588016388,1991-06-24,2.125845532595556,4.051711763430132
Bohman,Minnesota,Russet Burbank,179.3358801638802,1991-06-24,2.1500641210996463,3.839939242710625
Bohman,Minnesota,Russet Burbank,269.00382024582,1991-06-24,2.7322047103312865,4.125802357266193
Bohman,Minnesota,Russet Burbank,269.0038202458203,1991-06-24,3.056911939184929,3.3945113224501435
Bohman,Minnesota,Russet Burbank,0,1991-07-02,1.760415264337394,1.721352845561798
Bohman,Minnesota,Russet Burbank,134.50191012291,1991-07-02,4.4217586427895395,2.4045051075729558
Bohman,Minnesota,Russet Burbank,179.33588016388,1991-07-02,3.240972757031732,3.1594238825159704
Bohman,Minnesota,Russet Burbank,179.3358801638802,1991-07-02,3.706506145966953,2.9119046550313468
Bohman,Minnesota,Russet Burbank,269.00382024582,1991-07-02,3.954252298942585,3.2894707498415583
Bohman,Minnesota,Russet Burbank,269.0038202458203,1991-07-02,3.627930518164301,2.8025654689627575
Bohman,Minnesota,Russet Burbank,0,1991-07-16,4.418637443960502,1.1596746787875856
Bohman,Minnesota,Russet Burbank,134.50191012291,1991-07-16,7.186272876273782,1.3575297520844485
Bohman,Minnesota,Russet Burbank,179.3358801638802,1991-07-16,6.695525747879207,1.9025352630789647
Bohman,Minnesota,Russet Burbank,224.16985020485,1991-07-16,5.308640003144795,2.2081004755650833
Bohman,Minnesota,Russet Burbank,269.00382024582,1991-07-16,6.990892074570187,2.2952298437771153
Bohman,Minnesota,Russet Burbank,269.0038202458203,1991-07-16,6.6315617254434756,1.7232015793708504
Bohman,Minnesota,Russet Burbank,0,1991-07-30,6.70583169775245,1.0284646800796349
Bohman,Minnesota,Russet Burbank,134.50191012291,1991-07-30,9.068479876136184,1.258305379904079
Bohman,Minnesota,Russet Burbank,179.3358801638802,1991-07-30,8.328471030110613,1.6960209679039733
Bohman,Minnesota,Russet Burbank,224.16985020485,1991-07-30,8.648692966480683,2.7870711184483143
Bohman,Minnesota,Russet Burbank,269.00382024582,1991-07-30,9.576171758819028,2.6318192638011126
Bohman,Minnesota,Russet Burbank,269.0038202458203,1991-07-30,7.658425548179111,1.4489588034336158
Bohman,Minnesota,Russet Burbank,0,1991-08-13,8.438799343525657,0.5488366475548836
Bohman,Minnesota,Russet Burbank,134.50191012291,1991-08-13,10.876794657659232,0.862396806139021
Bohman,Minnesota,Russet Burbank,179.3358801638802,1991-08-13,11.759423770952385,1.226518758651032
Bohman,Minnesota,Russet Burbank,224.16985020485,1991-08-13,10.769156772969009,1.2418054779269445
Bohman,Minnesota,Russet Burbank,269.00382024582,1991-08-13,12.523651958318643,1.9659357236763535
Bohman,Minnesota,Russet Burbank,269.0038202458203,1991-08-13,11.947790489478477,1.3975714552843248
Bohman,Minnesota,Russet Burbank,0,1991-09-05,10.023232648923463,0.7780209448062342
Bohman,Minnesota,Russet Burbank,134.50191012291,1991-09-05,16.246886917767704,0.8493794011332318
Bohman,Minnesota,Russet Burbank,179.3358801638802,1991-09-05,17.459580558529478,0.883039748368131
Bohman,Minnesota,Russet Burbank,224.16985020485,1991-09-05,16.93787601456269,1.1300966667579215
Bohman,Minnesota,Russet Burbank,269.00382024582,1991-09-05,17.316835830375098,0.9752296389703776
Bohman,Minnesota,Russet Burbank,269.0038202458203,1991-09-05,16.6594516400387,0.8516873643502194
Bohman,Minnesota,Russet Burbank,0,1992-06-25,2.4627518594850555,1.664238575703333
Bohman,Minnesota,Russet Burbank,134.50191012291,1992-06-25,3.850560791096045,3.555458231677118
Bohman,Minnesota,Russet Burbank,179.33588016388,1992-06-25,4.135083478201954,3.369708596004871
Bohman,Minnesota,Russet Burbank,179.3358801638802,1992-06-25,3.8808789026984383,3.4288167265497522
Bohman,Minnesota,Russet Burbank,269.00382024582,1992-06-25,4.176942294419188,3.56531747110364
Bohman,Minnesota,Russet Burbank,269.0038202458203,1992-06-25,3.363320825715473,3.7460938104878854
Bohman,Minnesota,Russet Burbank,0,1992-07-17,5.116381138162174,0.9959249878692231
Bohman,Minnesota,Russet Burbank,134.50191012291,1992-07-17,9.572583455713183,1.6866761893589512
Bohman,Minnesota,Russet Burbank,179.3358801638802,1992-07-17,9.674839306062836,1.8031513936932946
Bohman,Minnesota,Russet Burbank,224.16985020485,1992-07-17,10.189706674108852,1.965447318592715
Bohman,Minnesota,Russet Burbank,269.00382024582,1992-07-17,9.640754022612953,2.328691572900386
Bohman,Minnesota,Russet Burbank,269.0038202458203,1992-07-17,9.253975821411943,2.2163159810993127
Bohman,Minnesota,Russet Burbank,0,1992-08-05,6.960574280541538,0.8976433228066409
Bohman,Minnesota,Russet Burbank,134.50191012291,1992-08-05,13.199975406167683,1.281860647563401
Bohman,Minnesota,Russet Burbank,179.3358801638802,1992-08-05,13.799159023816983,1.39421295419474
Bohman,Minnesota,Russet Burbank,224.16985020485,1992-08-05,15.08004775003971,1.6184064540189647
Bohman,Minnesota,Russet Burbank,269.00382024582,1992-08-05,14.466513021557981,1.746161657055119
Bohman,Minnesota,Russet Burbank,269.0038202458203,1992-08-05,13.44036672867785,1.7679978052412246
Bohman,Minnesota,Russet Burbank,0,1992-08-26,8.438799259462021,1.1682921507763937
Bohman,Minnesota,Russet Burbank,134.50191012291,1992-08-26,15.223565116434752,1.2646684494697196
Bohman,Minnesota,Russet Burbank,179.3358801638802,1992-08-26,15.34734770308608,1.369500589522032
Bohman,Minnesota,Russet Burbank,224.16985020485,1992-08-26,15.636178875828165,1.5654706789816417
Bohman,Minnesota,Russet Burbank,269.00382024582,1992-08-26,16.31788155589648,1.5540996003720249
Bohman,Minnesota,Russet Burbank,269.0038202458203,1992-08-26,15.702552862669906,1.6156003983157885
Bohman,Minnesota,Russet Burbank,0,1992-09-08,8.473160860091223,0.6238527391933862
Bohman,Minnesota,Russet Burbank,134.50191012291,1992-09-08,13.983100660440487,1.4937419786210198
Bohman,Minnesota,Russet Burbank,179.3358801638802,1992-09-08,13.975038509181381,1.3367037411126848
Bohman,Minnesota,Russet Burbank,224.16985020485,1992-09-08,14.501645588495466,1.4725487149609333
Bohman,Minnesota,Russet Burbank,269.00382024582,1992-09-08,15.942377820427168,1.5955430013504976
Bohman,Minnesota,Russet Burbank,269.0038202458203,1992-09-08,15.669983246619806,1.6167484548883708
Bohman,Minnesota,Russet Burbank,44.83397004097,2016-06-27,1.5048531454016214,3.0166636877400577
Bohman,Minnesota,Russet Burbank,167.18376362387949,2016-06-27,2.0599415349184307,4.533983578647284
Bohman,Minnesota,Russet Burbank,309.9251894706073,2016-06-27,1.982381648982173,4.597818596926586
Bohman,Minnesota,Russet Burbank,44.83397004097,2016-07-12,4.8048217580046275,1.7971774015844522
Bohman,Minnesota,Russet Burbank,167.18376362387949,2016-07-12,5.175893575869503,2.9610788018754692
Bohman,Minnesota,Russet Burbank,309.9251894706073,2016-07-12,5.462867504791059,3.4386231859795866
Bohman,Minnesota,Russet Burbank,44.83397004097,2016-07-25,8.673972183844658,1.2162142814729828
Bohman,Minnesota,Russet Burbank,167.18376362387949,2016-07-25,10.064239561116239,2.0835863674274853
Bohman,Minnesota,Russet Burbank,189.6007486443645,2016-07-25,10.312188517784625,2.3815113367937397
Bohman,Minnesota,Russet Burbank,309.9251894706073,2016-07-25,11.006037565154042,2.701714886428007
Bohman,Minnesota,Russet Burbank,44.83397004097,2016-08-02,9.412857585757457,1.0827623297222482
