owner,study,year,location,variety,rate_n_kgha,date,W,N
Bohman,blcmr,1991,Minnesota,Russet Burbank,0,1991-05-31,0.16909891789773573,4.159999601453595
Bohman,blcmr,1991,Minnesota,Russet Burbank,179.3358801638802,1991-05-31,0.27539119032433174,4.9399991342222025
Bohman,blcmr,1991,Minnesota,Russet Burbank,134.50191012291,1991-05-31,0.110705417292531,4.810000142625452
Bohman,blcmr,1991,Minnesota,Russet Burbank,156.918895143395,1991-05-31,0.15585944967447402,5.470000265244897
Bohman,blcmr,1991,Minnesota,Russet Burbank,179.3358801638802,1991-05-31,0.35224457834648554,5.159998987536707
Bohman,blcmr,1991,Minnesota,Russet Burbank,201.75286518436502,1991-05-31,0.32022227262462727,5.455000339958235
Bohman,blcmr,1991,Minnesota,Russet Burbank,179.3358801638802,1991-05-31,0.29847946475114173,3.662499961806067
Bohman,blcmr,1991,Minnesota,Russet Burbank,179.3358801638802,1991-05-31,0.22679274002805924,4.897500436338762
Bohman,blcmr,1991,Minnesota,Russet Burbank,89.66794008194,1991-05-31,0.29858715027189353,4.53749920584807
Bohman,blcmr,1991,Minnesota,Russet Burbank,89.66794008194,1991-05-31,0.2665110718426913,4.262499831391728
Bohman,blcmr,1991,Minnesota,Russet Burbank,0,1991-06-12,0.296003790601145,3.8600005776343194
Bohman,blcmr,1991,Minnesota,Russet Burbank,179.3358801638802,1991-06-12,0.5166612020251953,5.002499347483868
Bohman,blcmr,1991,Minnesota,Russet Burbank,134.50191012291,1991-06-12,0.46822420995701874,5.287500490013395
Bohman,blcmr,1991,Minnesota,Russet Burbank,156.918895143395,1991-06-12,0.6350627070571683,4.27749985825301
Bohman,blcmr,1991,Minnesota,Russet Burbank,179.3358801638802,1991-06-12,0.6242989746305713,4.250000082669425
Bohman,blcmr,1991,Minnesota,Russet Burbank,201.75286518436502,1991-06-12,1.0763775579264825,4.16499987098906
Bohman,blcmr,1991,Minnesota,Russet Burbank,179.3358801638802,1991-06-12,0.5435706171553265,4.150001076235588
