index,group,owner,study,location,variety,date
3,1,Bohman,blcmr,Minnesota,Russet Burbank,1991-06-24
4,1,Bohman,blcmr,Minnesota,Russet Burbank,1991-07-02
5,1,Bohman,blcmr,Minnesota,Russet Burbank,1991-07-16
6,1,Bohman,blcmr,Minnesota,Russet Burbank,1991-07-30
7,1,Bohman,blcmr,Minnesota,Russet Burbank,1991-08-13
8,1,Bohman,blcmr,Minnesota,Russet Burbank,1991-09-05
11,1,Bohman,blcmr,Minnesota,Russet Burbank,1992-06-25
12,1,Bohman,blcmr,Minnesota,Russet Burbank,1992-07-17
13,1,Bohman,blcmr,Minnesota,Russet Burbank,1992-08-05
14,1,Bohman,blcmr,Minnesota,Russet Burbank,1992-08-26
15,1,Bohman,blcmr,Minnesota,Russet Burbank,1992-09-08
16,1,Bohman,chloro,Minnesota,Russet Burbank,2016-06-27
21,1,Bohman,chloro,Minnesota,Russet Burbank,2016-09-13
22,1,Bohman,esn-nni,Minnesota,Russet Burbank,2020-06-24
29,1,Bohman,nni,Minnesota,Russet Burbank,2019-08-06
42,1,Bohman,sanjay,Minnesota,Russet Burbank,2018-06-26
43,1,Bohman,sanjay,Minnesota,Russet Burbank,2018-07-10
45,1,Bohman,sanjay,Minnesota,Russet Burbank,2018-08-01
90,1,Bohman,vxn,Minnesota,Russet Burbank,2014-06-30
91,1,Bohman,vxn,Minnesota,Russet Burbank,2014-07-15
92,1,Bohman,vxn,Minnesota,Russet Burbank,2014-07-24
100,1,Bohman,vxn,Minnesota,Russet Burbank,2015-08-04
101,1,Bohman,vxn,Minnesota,Russet Burbank,2015-08-17
32,2,Bohman,sanjay,Minnesota,Clearwater,2018-06-26
35,2,Bohman,sanjay,Minnesota,Clearwater,2018-08-01
38,2,Bohman,sanjay,Minnesota,Clearwater,2019-07-11
53,3,Bohman,sanjay,Minnesota,Umatilla,2018-07-10
54,3,Bohman,sanjay,Minnesota,Umatilla,2018-07-18
56,3,Bohman,sanjay,Minnesota,Umatilla,2018-09-13
62,4,Bohman,vxn,Minnesota,Dakota Russet,2014-06-30
68,4,Bohman,vxn,Minnesota,Dakota Russet,2014-09-15
74,4,Bohman,vxn,Minnesota,Dakota Russet,2015-09-01
78,5,Bohman,vxn,Minnesota,Easton,2014-07-24
84,5,Bohman,vxn,Minnesota,Easton,2015-07-07
85,5,Bohman,vxn,Minnesota,Easton,2015-07-21
87,5,Bohman,vxn,Minnesota,Easton,2015-08-17
88,5,Bohman,vxn,Minnesota,Easton,2015-09-01
106,6,Giletto,Drummond,Canada,Russet Burbank,1900-02-23
107,6,Giletto,Drummond,Canada,Russet Burbank,1900-03-05
108,6,Giletto,Drummond,Canada,Russet Burbank,1900-03-11
111,6,Giletto,Drummond,Canada,Russet Burbank,1900-03-30
112,6,Giletto,Drummond,Canada,Russet Burbank,1900-04-06
200,6,Giletto,Hartland,Canada,Russet Burbank,1900-02-24
201,6,Giletto,Hartland,Canada,Russet Burbank,1900-03-03
202,6,Giletto,Hartland,Canada,Russet Burbank,1900-03-11
203,6,Giletto,Hartland,Canada,Russet Burbank,1900-03-16
204,6,Giletto,Hartland,Canada,Russet Burbank,1900-03-23
206,6,Giletto,Hartland,Canada,Russet Burbank,1900-04-09
219,6,Giletto,Jacksonville,Canada,Russet Burbank,1900-03-06
220,6,Giletto,Jacksonville,Canada,Russet Burbank,1900-03-16
222,6,Giletto,Jacksonville,Canada,Russet Burbank,1900-03-29
225,6,Giletto,Jacksonville,Canada,Russet Burbank,1900-04-25
238,6,Giletto,London,Canada,Russet Burbank,1900-02-26
239,6,Giletto,London,Canada,Russet Burbank,1900-03-01
240,6,Giletto,London,Canada,Russet Burbank,1900-03-10
241,6,Giletto,London,Canada,Russet Burbank,1900-03-15
242,6,Giletto,London,Canada,Russet Burbank,1900-03-22
243,6,Giletto,London,Canada,Russet Burbank,1900-03-23
244,6,Giletto,London,Canada,Russet Burbank,1900-04-08
245,6,Giletto,London,Canada,Russet Burbank,1900-04-15
117,7,Giletto,Drummond,Canada,Shepody,1900-03-05
118,7,Giletto,Drummond,Canada,Shepody,1900-03-11
119,7,Giletto,Drummond,Canada,Shepody,1900-03-18
120,7,Giletto,Drummond,Canada,Shepody,1900-03-25
122,7,Giletto,Drummond,Canada,Shepody,1900-04-06
209,7,Giletto,Hartland,Canada,Shepody,1900-02-24
211,7,Giletto,Hartland,Canada,Shepody,1900-03-11
212,7,Giletto,Hartland,Canada,Shepody,1900-03-16
213,7,Giletto,Hartland,Canada,Shepody,1900-03-23
214,7,Giletto,Hartland,Canada,Shepody,1900-04-01
215,7,Giletto,Hartland,Canada,Shepody,1900-04-09
228,7,Giletto,Jacksonville,Canada,Shepody,1900-02-27
229,7,Giletto,Jacksonville,Canada,Shepody,1900-03-06
230,7,Giletto,Jacksonville,Canada,Shepody,1900-03-16
231,7,Giletto,Jacksonville,Canada,Shepody,1900-03-23
232,7,Giletto,Jacksonville,Canada,Shepody,1900-03-29
233,7,Giletto,Jacksonville,Canada,Shepody,1900-04-05
235,7,Giletto,Jacksonville,Canada,Shepody,1900-04-25
249,7,Giletto,London,Canada,Shepody,1900-03-01
250,7,Giletto,London,Canada,Shepody,1900-03-10
251,7,Giletto,London,Canada,Shepody,1900-03-15
252,7,Giletto,London,Canada,Shepody,1900-03-22
253,7,Giletto,London,Canada,Shepody,1900-04-08
254,7,Giletto,London,Canada,Shepody,1900-04-15
255,7,Giletto,London,Canada,Shepody,1900-04-21
124,8,Giletto,Giletto,Argentina,Bannock Russet,2003-03-02
125,8,Giletto,Giletto,Argentina,Bannock Russet,2003-03-17
126,8,Giletto,Giletto,Argentina,Bannock Russet,2003-04-01
127,8,Giletto,Giletto,Argentina,Bannock Russet,2003-04-21
128,8,Giletto,Giletto,Argentina,Bannock Russet,2004-02-25
129,8,Giletto,Giletto,Argentina,Bannock Russet,2004-03-02
130,8,Giletto,Giletto,Argentina,Bannock Russet,2004-03-24
