index,group,owner,study,location,variety,date
1,1,Bohman,blcmr,Minnesota,Russet Burbank,1991-05-31
2,1,Bohman,blcmr,Minnesota,Russet Burbank,1991-06-12
3,1,Bohman,blcmr,Minnesota,Russet Burbank,1991-06-24
4,1,Bohman,blcmr,Minnesota,Russet Burbank,1991-07-02
5,1,Bohman,blcmr,Minnesota,Russet Burbank,1991-07-16
6,1,Bohman,blcmr,Minnesota,Russet Burbank,1991-07-30
7,1,Bohman,blcmr,Minnesota,Russet Burbank,1991-08-13
8,1,Bohman,blcmr,Minnesota,Russet Burbank,1991-09-05
9,1,Bohman,blcmr,Minnesota,Russet Burbank,1992-05-27
10,1,Bohman,blcmr,Minnesota,Russet Burbank,1992-06-10
11,1,Bohman,blcmr,Minnesota,Russet Burbank,1992-06-25
12,1,Bohman,blcmr,Minnesota,Russet Burbank,1992-07-17
13,1,Bohman,blcmr,Minnesota,Russet Burbank,1992-08-05
14,1,Bohman,blcmr,Minnesota,Russet Burbank,1992-08-26
15,1,Bohman,blcmr,Minnesota,Russet Burbank,1992-09-08
16,1,Bohman,chloro,Minnesota,Russet Burbank,2016-06-27
17,1,Bohman,chloro,Minnesota,Russet Burbank,2016-07-12
18,1,Bohman,chloro,Minnesota,Russet Burbank,2016-07-25
19,1,Bohman,chloro,Minnesota,Russet Burbank,2016-08-02
20,1,Bohman,chloro,Minnesota,Russet Burbank,2016-08-09
21,1,Bohman,chloro,Minnesota,Russet Burbank,2016-09-13
22,1,Bohman,esn-nni,Minnesota,Russet Burbank,2020-06-24
23,1,Bohman,esn-nni,Minnesota,Russet Burbank,2020-07-07
24,1,Bohman,esn-nni,Minnesota,Russet Burbank,2020-07-22
25,1,Bohman,esn-nni,Minnesota,Russet Burbank,2020-08-04
26,1,Bohman,nni,Minnesota,Russet Burbank,2019-06-25
27,1,Bohman,nni,Minnesota,Russet Burbank,2019-07-09
28,1,Bohman,nni,Minnesota,Russet Burbank,2019-07-23
29,1,Bohman,nni,Minnesota,Russet Burbank,2019-08-06
30,1,Bohman,nni,Minnesota,Russet Burbank,2019-08-21
31,1,Bohman,nni,Minnesota,Russet Burbank,2019-09-16
32,2,Bohman,sanjay,Minnesota,Clearwater,2018-06-26
33,2,Bohman,sanjay,Minnesota,Clearwater,2018-07-10
34,2,Bohman,sanjay,Minnesota,Clearwater,2018-07-18
35,2,Bohman,sanjay,Minnesota,Clearwater,2018-08-01
36,2,Bohman,sanjay,Minnesota,Clearwater,2018-09-13
37,2,Bohman,sanjay,Minnesota,Clearwater,2019-06-26
38,2,Bohman,sanjay,Minnesota,Clearwater,2019-07-11
39,2,Bohman,sanjay,Minnesota,Clearwater,2019-07-24
40,2,Bohman,sanjay,Minnesota,Clearwater,2019-08-07
41,2,Bohman,sanjay,Minnesota,Clearwater,2019-09-16
42,1,Bohman,sanjay,Minnesota,Russet Burbank,2018-06-26
43,1,Bohman,sanjay,Minnesota,Russet Burbank,2018-07-10
44,1,Bohman,sanjay,Minnesota,Russet Burbank,2018-07-18
45,1,Bohman,sanjay,Minnesota,Russet Burbank,2018-08-01
46,1,Bohman,sanjay,Minnesota,Russet Burbank,2018-09-13
47,1,Bohman,sanjay,Minnesota,Russet Burbank,2019-06-26
48,1,Bohman,sanjay,Minnesota,Russet Burbank,2019-07-11
49,1,Bohman,sanjay,Minnesota,Russet Burbank,2019-07-24
50,1,Bohman,sanjay,Minnesota,Russet Burbank,2019-08-07
51,1,Bohman,sanjay,Minnesota,Russet Burbank,2019-09-16
52,3,Bohman,sanjay,Minnesota,Umatilla,2018-06-26
53,3,Bohman,sanjay,Minnesota,Umatilla,2018-07-10
54,3,Bohman,sanjay,Minnesota,Umatilla,2018-07-18
55,3,Bohman,sanjay,Minnesota,Umatilla,2018-08-01
56,3,Bohman,sanjay,Minnesota,Umatilla,2018-09-13
57,3,Bohman,sanjay,Minnesota,Umatilla,2019-06-26
58,3,Bohman,sanjay,Minnesota,Umatilla,2019-07-11
59,3,Bohman,sanjay,Minnesota,Umatilla,2019-07-24
60,3,Bohman,sanjay,Minnesota,Umatilla,2019-08-07
61,3,Bohman,sanjay,Minnesota,Umatilla,2019-09-16
62,4,Bohman,vxn,Minnesota,Dakota Russet,2014-06-30
63,4,Bohman,vxn,Minnesota,Dakota Russet,2014-07-15
64,4,Bohman,vxn,Minnesota,Dakota Russet,2014-07-24
65,4,Bohman,vxn,Minnesota,Dakota Russet,2014-08-11
66,4,Bohman,vxn,Minnesota,Dakota Russet,2014-08-26
67,4,Bohman,vxn,Minnesota,Dakota Russet,2014-09-08
68,4,Bohman,vxn,Minnesota,Dakota Russet,2014-09-15
69,4,Bohman,vxn,Minnesota,Dakota Russet,2015-06-23
70,4,Bohman,vxn,Minnesota,Dakota Russet,2015-07-07
71,4,Bohman,vxn,Minnesota,Dakota Russet,2015-07-21
72,4,Bohman,vxn,Minnesota,Dakota Russet,2015-08-04
73,4,Bohman,vxn,Minnesota,Dakota Russet,2015-08-17
74,4,Bohman,vxn,Minnesota,Dakota Russet,2015-09-01
75,4,Bohman,vxn,Minnesota,Dakota Russet,2015-09-16
76,5,Bohman,vxn,Minnesota,Easton,2014-06-30
77,5,Bohman,vxn,Minnesota,Easton,2014-07-15
78,5,Bohman,vxn,Minnesota,Easton,2014-07-24
79,5,Bohman,vxn,Minnesota,Easton,2014-08-11
80,5,Bohman,vxn,Minnesota,Easton,2014-08-26
81,5,Bohman,vxn,Minnesota,Easton,2014-09-08
82,5,Bohman,vxn,Minnesota,Easton,2014-09-15
83,5,Bohman,vxn,Minnesota,Easton,2015-06-23
