group,owner,location,variety,count_0,count_1,count_2
1,Bohman,Minnesota,Russet Burbank,54,50,50
2,Bohman,Minnesota,Clearwater,10,10,10
3,Bohman,Minnesota,Umatilla,10,10,10
4,Bohman,Minnesota,Dakota Russet,14,14,14
5,Bohman,Minnesota,Easton,14,14,14
6,Giletto,Canada,Russet Burbank,33,26,26
7,Giletto,Canada,Shepody,35,27,27
8,Giletto,Argentina,Bannock Russet,14,13,13
9,Giletto,Argentina,Gem Russet,19,18,18
10,Giletto,Argentina,Innovator,19,18,18
11,Giletto,Argentina,Markies Russet,9,9,9
12,Giletto,Argentina,Umatilla Russet,14,14,14
