index,group,owner,study,location,variety,date
1,1,Ben Abdallah,Franière,Belgium,Bintje,1999-06-28
2,1,Ben Abdallah,Gembloux,Belgium,Bintje,1997-06-12
3,1,Ben Abdallah,Gembloux,Belgium,Bintje,1997-06-24
4,1,Ben Abdallah,Gembloux,Belgium,Bintje,1997-07-03
5,1,Ben Abdallah,Gembloux,Belgium,Bintje,1997-07-16
6,1,Ben Abdallah,Gembloux,Belgium,Bintje,1997-07-30
7,1,Ben Abdallah,Gembloux,Belgium,Bintje,1998-06-22
8,1,Ben Abdallah,Gembloux,Belgium,Bintje,1998-07-01
9,1,Ben Abdallah,Gembloux,Belgium,Bintje,1998-07-13
10,1,Ben Abdallah,Gembloux,Belgium,Bintje,1999-06-14
11,1,Ben Abdallah,Gembloux,Belgium,Bintje,1999-06-24
12,1,Ben Abdallah,Gembloux,Belgium,Bintje,1999-07-08
13,1,Ben Abdallah,Gembloux,Belgium,Bintje,1999-07-19
14,1,Ben Abdallah,Gembloux,Belgium,Bintje,2000-06-15
15,1,Ben Abdallah,Gembloux,Belgium,Bintje,2000-06-29
16,1,Ben Abdallah,Gembloux,Belgium,Bintje,2000-07-13
17,1,Ben Abdallah,Gembloux,Belgium,Bintje,2004-06-14
18,1,Ben Abdallah,Gembloux,Belgium,Bintje,2004-06-21
19,1,Ben Abdallah,Gembloux,Belgium,Bintje,2004-06-28
20,1,Ben Abdallah,Gembloux,Belgium,Bintje,2004-07-05
21,1,Ben Abdallah,Gembloux,Belgium,Bintje,2004-07-12
22,1,Ben Abdallah,Gembloux,Belgium,Bintje,2004-07-19
23,1,Ben Abdallah,Gembloux,Belgium,Bintje,2004-07-27
24,1,Ben Abdallah,Gembloux,Belgium,Bintje,2010-06-14
25,1,Ben Abdallah,Gembloux,Belgium,Bintje,2010-06-28
26,1,Ben Abdallah,Gembloux,Belgium,Bintje,2010-07-05
27,1,Ben Abdallah,Gembloux,Belgium,Bintje,2010-07-12
28,1,Ben Abdallah,Gembloux,Belgium,Bintje,2010-07-26
29,1,Ben Abdallah,Gembloux,Belgium,Bintje,2011-06-14
30,1,Ben Abdallah,Gembloux,Belgium,Bintje,2011-07-06
31,1,Ben Abdallah,Gembloux,Belgium,Bintje,2011-07-20
32,1,Ben Abdallah,Gembloux,Belgium,Bintje,2011-07-25
33,1,Ben Abdallah,Gembloux,Belgium,Bintje,2012-06-27
34,1,Ben Abdallah,Gembloux,Belgium,Bintje,2012-07-04
35,1,Ben Abdallah,Gembloux,Belgium,Bintje,2012-07-11
36,1,Ben Abdallah,Gembloux,Belgium,Bintje,2012-07-25
37,1,Ben Abdallah,Gembloux,Belgium,Bintje,2013-06-19
38,1,Ben Abdallah,Gembloux,Belgium,Bintje,2013-06-26
39,1,Ben Abdallah,Gembloux,Belgium,Bintje,2013-07-11
40,1,Ben Abdallah,Gembloux,Belgium,Bintje,2013-07-23
41,1,Ben Abdallah,Gembloux,Belgium,Bintje,2014-06-18
42,1,Ben Abdallah,Gembloux,Belgium,Bintje,2014-07-03
43,1,Ben Abdallah,Gembloux,Belgium,Bintje,2014-07-30
44,2,Ben Abdallah,Gembloux,Belgium,Charlotte,1999-07-06
45,2,Ben Abdallah,Gembloux,Belgium,Charlotte,1999-07-22
46,2,Ben Abdallah,Gembloux,Belgium,Charlotte,2010-06-17
47,2,Ben Abdallah,Gembloux,Belgium,Charlotte,2010-07-01
48,2,Ben Abdallah,Gembloux,Belgium,Charlotte,2010-07-08
49,2,Ben Abdallah,Gembloux,Belgium,Charlotte,2010-07-15
50,2,Ben Abdallah,Gembloux,Belgium,Charlotte,2010-07-19
51,2,Ben Abdallah,Gembloux,Belgium,Charlotte,2011-06-20
52,2,Ben Abdallah,Gembloux,Belgium,Charlotte,2011-07-04
53,2,Ben Abdallah,Gembloux,Belgium,Charlotte,2011-07-11
54,2,Ben Abdallah,Gembloux,Belgium,Charlotte,2011-07-18
55,2,Ben Abdallah,Gembloux,Belgium,Charlotte,2012-06-27
56,2,Ben Abdallah,Gembloux,Belgium,Charlotte,2012-07-02
57,2,Ben Abdallah,Gembloux,Belgium,Charlotte,2012-07-09
58,2,Ben Abdallah,Gembloux,Belgium,Charlotte,2012-07-16
59,2,Ben Abdallah,Gembloux,Belgium,Charlotte,2013-06-17
60,2,Ben Abdallah,Gembloux,Belgium,Charlotte,2013-06-24
61,2,Ben Abdallah,Gembloux,Belgium,Charlotte,2013-07-01
62,2,Ben Abdallah,Gembloux,Belgium,Charlotte,2013-07-15
63,2,Ben Abdallah,Gembloux 1,Belgium,Charlotte,2014-06-16
64,2,Ben Abdallah,Gembloux 1,Belgium,Charlotte,2014-06-30
65,2,Ben Abdallah,Gembloux 1,Belgium,Charlotte,2014-07-28
66,2,Ben Abdallah,Gembloux 2,Belgium,Charlotte,2014-06-24
67,2,Ben Abdallah,Gembloux 2,Belgium,Charlotte,2014-07-08
68,2,Ben Abdallah,Gembloux 2,Belgium,Charlotte,2014-07-15
69,2,Ben Abdallah,Gembloux 2,Belgium,Charlotte,2014-07-23
70,1,Ben Abdallah,Gouy,Belgium,Bintje,1998-06-24
71,1,Ben Abdallah,Gouy,Belgium,Bintje,1998-07-07
72,1,Ben Abdallah,Gouy,Belgium,Bintje,1998-07-15
73,1,Ben Abdallah,incourt,Belgium,Bintje,1999-06-28
74,1,Ben Abdallah,Marcq,Belgium,Bintje,1999-07-01
75,1,Ben Abdallah,Masnuy,Belgium,Bintje,1997-06-10
76,1,Ben Abdallah,Masnuy,Belgium,Bintje,1997-07-01
77,1,Ben Abdallah,Masnuy,Belgium,Bintje,1997-07-24
78,1,Ben Abdallah,Pontillas,Belgium,Bintje,1999-06-28
79,1,Ben Abdallah,Roisin,Belgium,Bintje,2000-07-19
80,3,Bohman,blcmr,Minnesota,Russet Burbank,1991-05-31
81,3,Bohman,blcmr,Minnesota,Russet Burbank,1991-06-12
82,3,Bohman,blcmr,Minnesota,Russet Burbank,1991-06-24
83,3,Bohman,blcmr,Minnesota,Russet Burbank,1991-07-02
84,3,Bohman,blcmr,Minnesota,Russet Burbank,1991-07-16
85,3,Bohman,blcmr,Minnesota,Russet Burbank,1991-07-30
86,3,Bohman,blcmr,Minnesota,Russet Burbank,1991-08-13
87,3,Bohman,blcmr,Minnesota,Russet Burbank,1991-09-05
88,3,Bohman,blcmr,Minnesota,Russet Burbank,1992-05-27
89,3,Bohman,blcmr,Minnesota,Russet Burbank,1992-06-10
90,3,Bohman,blcmr,Minnesota,Russet Burbank,1992-06-25
91,3,Bohman,blcmr,Minnesota,Russet Burbank,1992-07-17
92,3,Bohman,blcmr,Minnesota,Russet Burbank,1992-08-05
93,3,Bohman,blcmr,Minnesota,Russet Burbank,1992-08-26
94,3,Bohman,blcmr,Minnesota,Russet Burbank,1992-09-08
95,3,Bohman,chloro,Minnesota,Russet Burbank,2016-06-27
96,3,Bohman,chloro,Minnesota,Russet Burbank,2016-07-12
97,3,Bohman,chloro,Minnesota,Russet Burbank,2016-07-25
98,3,Bohman,chloro,Minnesota,Russet Burbank,2016-08-02
99,3,Bohman,chloro,Minnesota,Russet Burbank,2016-08-09
100,3,Bohman,chloro,Minnesota,Russet Burbank,2016-09-13
101,3,Bohman,esn-nni,Minnesota,Russet Burbank,2020-06-24
102,3,Bohman,esn-nni,Minnesota,Russet Burbank,2020-07-07
103,3,Bohman,esn-nni,Minnesota,Russet Burbank,2020-07-22
104,3,Bohman,esn-nni,Minnesota,Russet Burbank,2020-08-04
105,3,Bohman,esn-nni,Minnesota,Russet Burbank,2020-09-15
106,3,Bohman,nni,Minnesota,Russet Burbank,2019-06-25
107,3,Bohman,nni,Minnesota,Russet Burbank,2019-07-09
108,3,Bohman,nni,Minnesota,Russet Burbank,2019-07-23
109,3,Bohman,nni,Minnesota,Russet Burbank,2019-08-06
110,3,Bohman,nni,Minnesota,Russet Burbank,2019-08-21
111,3,Bohman,nni,Minnesota,Russet Burbank,2019-09-16
112,4,Bohman,sanjay,Minnesota,Clearwater,2018-06-26
113,4,Bohman,sanjay,Minnesota,Clearwater,2018-07-10
