group,owner,location,variety,count.index.data,count.index.data_cndc
1,Ben Abdallah,Belgium,Bintje,51,47
2,Ben Abdallah,Belgium,Charlotte,26,24
3,Bohman,Minnesota,Russet Burbank,55,51
4,Bohman,Minnesota,Clearwater,10,10
5,Bohman,Minnesota,Umatilla,10,10
6,Bohman,Minnesota,Dakota Russet,14,14
7,Bohman,Minnesota,Easton,14,14
8,Giletto,Canada,Russet Burbank,37,30
9,Giletto,Canada,Shepody,38,30
10,Giletto,Argentina,Bannock Russet,14,13
11,Giletto,Argentina,Gem Russet,19,18
12,Giletto,Argentina,Innovator,19,18
13,Giletto,Argentina,Markies Russet,9,9
14,Giletto,Argentina,Umatilla Russet,14,14
