owner,study,year,plot_id,rep_id,trt_id
rosen lab,esn-nni,2020,101,1,15
rosen lab,esn-nni,2020,102,1,2
rosen lab,esn-nni,2020,103,1,3
rosen lab,esn-nni,2020,104,1,6
rosen lab,esn-nni,2020,105,1,1
rosen lab,esn-nni,2020,106,1,8
rosen lab,esn-nni,2020,107,1,7
rosen lab,esn-nni,2020,108,1,16
rosen lab,esn-nni,2020,109,1,17
rosen lab,esn-nni,2020,110,1,10
rosen lab,esn-nni,2020,111,1,5
rosen lab,esn-nni,2020,112,1,14
rosen lab,esn-nni,2020,113,1,11
rosen lab,esn-nni,2020,114,1,12
rosen lab,esn-nni,2020,115,1,9
rosen lab,esn-nni,2020,116,1,13
rosen lab,esn-nni,2020,201,2,3
rosen lab,esn-nni,2020,202,2,7
rosen lab,esn-nni,2020,203,2,1
rosen lab,esn-nni,2020,204,2,16
rosen lab,esn-nni,2020,205,2,8
rosen lab,esn-nni,2020,206,2,2
rosen lab,esn-nni,2020,207,2,13
rosen lab,esn-nni,2020,208,2,5
rosen lab,esn-nni,2020,209,2,17
rosen lab,esn-nni,2020,210,2,9
rosen lab,esn-nni,2020,211,2,10
rosen lab,esn-nni,2020,212,2,12
rosen lab,esn-nni,2020,213,2,15
rosen lab,esn-nni,2020,214,2,14
rosen lab,esn-nni,2020,215,2,6
rosen lab,esn-nni,2020,216,2,11
rosen lab,esn-nni,2020,301,3,5
rosen lab,esn-nni,2020,302,3,10
rosen lab,esn-nni,2020,303,3,4
rosen lab,esn-nni,2020,304,3,2
rosen lab,esn-nni,2020,305,3,15
rosen lab,esn-nni,2020,306,3,14
rosen lab,esn-nni,2020,307,3,12
rosen lab,esn-nni,2020,308,3,9
rosen lab,esn-nni,2020,309,3,1
rosen lab,esn-nni,2020,310,3,13
rosen lab,esn-nni,2020,311,3,6
rosen lab,esn-nni,2020,312,3,16
rosen lab,esn-nni,2020,313,3,8
rosen lab,esn-nni,2020,314,3,17
rosen lab,esn-nni,2020,315,3,7
rosen lab,esn-nni,2020,316,3,11
rosen lab,esn-nni,2020,401,4,12
rosen lab,esn-nni,2020,402,4,14
rosen lab,esn-nni,2020,403,4,2
rosen lab,esn-nni,2020,404,4,5
rosen lab,esn-nni,2020,405,4,13
rosen lab,esn-nni,2020,406,4,15
rosen lab,esn-nni,2020,407,4,1
rosen lab,esn-nni,2020,408,4,10
rosen lab,esn-nni,2020,409,4,6
rosen lab,esn-nni,2020,410,4,7
rosen lab,esn-nni,2020,411,4,16
