owner,study,year,trt_n,date,cum_rate_n_kgha
rosen lab,blcmr,1991,n.1,1991-04-18,0
rosen lab,blcmr,1991,n.10,1991-04-18,0
rosen lab,blcmr,1991,n.2,1991-04-18,0
rosen lab,blcmr,1991,n.3,1991-04-18,0
rosen lab,blcmr,1991,n.4,1991-04-18,0
rosen lab,blcmr,1991,n.5,1991-04-18,0
rosen lab,blcmr,1991,n.6,1991-04-18,0
rosen lab,blcmr,1991,n.7,1991-04-18,0
rosen lab,blcmr,1991,n.8,1991-04-18,0
rosen lab,blcmr,1991,n.9,1991-04-18,0
rosen lab,blcmr,1991,n.1,1991-04-19,0
rosen lab,blcmr,1991,n.10,1991-04-19,0
rosen lab,blcmr,1991,n.2,1991-04-19,0
rosen lab,blcmr,1991,n.3,1991-04-19,0
rosen lab,blcmr,1991,n.4,1991-04-19,0
rosen lab,blcmr,1991,n.5,1991-04-19,0
rosen lab,blcmr,1991,n.6,1991-04-19,0
rosen lab,blcmr,1991,n.7,1991-04-19,0
rosen lab,blcmr,1991,n.8,1991-04-19,0
rosen lab,blcmr,1991,n.9,1991-04-19,0
rosen lab,blcmr,1991,n.1,1991-04-20,0
rosen lab,blcmr,1991,n.10,1991-04-20,0
rosen lab,blcmr,1991,n.2,1991-04-20,0
rosen lab,blcmr,1991,n.3,1991-04-20,0
rosen lab,blcmr,1991,n.4,1991-04-20,0
rosen lab,blcmr,1991,n.5,1991-04-20,0
rosen lab,blcmr,1991,n.6,1991-04-20,0
rosen lab,blcmr,1991,n.7,1991-04-20,0
rosen lab,blcmr,1991,n.8,1991-04-20,0
rosen lab,blcmr,1991,n.9,1991-04-20,0
rosen lab,blcmr,1991,n.1,1991-04-21,0
rosen lab,blcmr,1991,n.10,1991-04-21,0
rosen lab,blcmr,1991,n.2,1991-04-21,0
rosen lab,blcmr,1991,n.3,1991-04-21,0
rosen lab,blcmr,1991,n.4,1991-04-21,0
rosen lab,blcmr,1991,n.5,1991-04-21,0
rosen lab,blcmr,1991,n.6,1991-04-21,0
rosen lab,blcmr,1991,n.7,1991-04-21,0
rosen lab,blcmr,1991,n.8,1991-04-21,0
rosen lab,blcmr,1991,n.9,1991-04-21,0
rosen lab,blcmr,1991,n.1,1991-04-22,0
rosen lab,blcmr,1991,n.10,1991-04-22,0
rosen lab,blcmr,1991,n.2,1991-04-22,0
rosen lab,blcmr,1991,n.3,1991-04-22,0
rosen lab,blcmr,1991,n.4,1991-04-22,0
rosen lab,blcmr,1991,n.5,1991-04-22,0
rosen lab,blcmr,1991,n.6,1991-04-22,0
rosen lab,blcmr,1991,n.7,1991-04-22,0
rosen lab,blcmr,1991,n.8,1991-04-22,0
rosen lab,blcmr,1991,n.9,1991-04-22,0
rosen lab,blcmr,1991,n.1,1991-04-23,0
rosen lab,blcmr,1991,n.10,1991-04-23,0
rosen lab,blcmr,1991,n.2,1991-04-23,0
rosen lab,blcmr,1991,n.3,1991-04-23,0
rosen lab,blcmr,1991,n.4,1991-04-23,0
rosen lab,blcmr,1991,n.5,1991-04-23,0
rosen lab,blcmr,1991,n.6,1991-04-23,0
rosen lab,blcmr,1991,n.7,1991-04-23,0
rosen lab,blcmr,1991,n.8,1991-04-23,0
rosen lab,blcmr,1991,n.9,1991-04-23,0
rosen lab,blcmr,1991,n.1,1991-04-24,0
rosen lab,blcmr,1991,n.10,1991-04-24,0
rosen lab,blcmr,1991,n.2,1991-04-24,0
rosen lab,blcmr,1991,n.3,1991-04-24,0
rosen lab,blcmr,1991,n.4,1991-04-24,0
rosen lab,blcmr,1991,n.5,1991-04-24,0
rosen lab,blcmr,1991,n.6,1991-04-24,0
rosen lab,blcmr,1991,n.7,1991-04-24,0
rosen lab,blcmr,1991,n.8,1991-04-24,0
rosen lab,blcmr,1991,n.9,1991-04-24,0
rosen lab,blcmr,1991,n.1,1991-04-25,0
rosen lab,blcmr,1991,n.10,1991-04-25,0
rosen lab,blcmr,1991,n.2,1991-04-25,0
rosen lab,blcmr,1991,n.3,1991-04-25,0
rosen lab,blcmr,1991,n.4,1991-04-25,0
rosen lab,blcmr,1991,n.5,1991-04-25,0
rosen lab,blcmr,1991,n.6,1991-04-25,0
rosen lab,blcmr,1991,n.7,1991-04-25,0
rosen lab,blcmr,1991,n.8,1991-04-25,0
rosen lab,blcmr,1991,n.9,1991-04-25,0
rosen lab,blcmr,1991,n.1,1991-04-26,0
rosen lab,blcmr,1991,n.10,1991-04-26,0
rosen lab,blcmr,1991,n.2,1991-04-26,0
rosen lab,blcmr,1991,n.3,1991-04-26,0
rosen lab,blcmr,1991,n.4,1991-04-26,0
rosen lab,blcmr,1991,n.5,1991-04-26,0
rosen lab,blcmr,1991,n.6,1991-04-26,0
rosen lab,blcmr,1991,n.7,1991-04-26,0
rosen lab,blcmr,1991,n.8,1991-04-26,0
rosen lab,blcmr,1991,n.9,1991-04-26,0
rosen lab,blcmr,1991,n.1,1991-04-27,0
rosen lab,blcmr,1991,n.10,1991-04-27,0
rosen lab,blcmr,1991,n.2,1991-04-27,0
rosen lab,blcmr,1991,n.3,1991-04-27,0
rosen lab,blcmr,1991,n.4,1991-04-27,0
rosen lab,blcmr,1991,n.5,1991-04-27,0
rosen lab,blcmr,1991,n.6,1991-04-27,0
rosen lab,blcmr,1991,n.7,1991-04-27,0
rosen lab,blcmr,1991,n.8,1991-04-27,0
rosen lab,blcmr,1991,n.9,1991-04-27,0
rosen lab,blcmr,1991,n.1,1991-04-28,0
rosen lab,blcmr,1991,n.10,1991-04-28,0
rosen lab,blcmr,1991,n.2,1991-04-28,0
rosen lab,blcmr,1991,n.3,1991-04-28,0
rosen lab,blcmr,1991,n.4,1991-04-28,0
rosen lab,blcmr,1991,n.5,1991-04-28,0
rosen lab,blcmr,1991,n.6,1991-04-28,0
rosen lab,blcmr,1991,n.7,1991-04-28,0
rosen lab,blcmr,1991,n.8,1991-04-28,0
rosen lab,blcmr,1991,n.9,1991-04-28,0
rosen lab,blcmr,1991,n.1,1991-04-29,0
rosen lab,blcmr,1991,n.10,1991-04-29,0
rosen lab,blcmr,1991,n.2,1991-04-29,0
rosen lab,blcmr,1991,n.3,1991-04-29,0
rosen lab,blcmr,1991,n.4,1991-04-29,0
rosen lab,blcmr,1991,n.5,1991-04-29,0
rosen lab,blcmr,1991,n.6,1991-04-29,0
rosen lab,blcmr,1991,n.7,1991-04-29,0
rosen lab,blcmr,1991,n.8,1991-04-29,0
rosen lab,blcmr,1991,n.9,1991-04-29,0
rosen lab,blcmr,1991,n.1,1991-04-30,0
rosen lab,blcmr,1991,n.10,1991-04-30,0
rosen lab,blcmr,1991,n.2,1991-04-30,0
rosen lab,blcmr,1991,n.3,1991-04-30,0
rosen lab,blcmr,1991,n.4,1991-04-30,0
rosen lab,blcmr,1991,n.5,1991-04-30,0
rosen lab,blcmr,1991,n.6,1991-04-30,0
rosen lab,blcmr,1991,n.7,1991-04-30,0
rosen lab,blcmr,1991,n.8,1991-04-30,0
rosen lab,blcmr,1991,n.9,1991-04-30,0
rosen lab,blcmr,1991,n.1,1991-05-01,0
rosen lab,blcmr,1991,n.10,1991-05-01,0
rosen lab,blcmr,1991,n.2,1991-05-01,0
rosen lab,blcmr,1991,n.3,1991-05-01,0
rosen lab,blcmr,1991,n.4,1991-05-01,0
rosen lab,blcmr,1991,n.5,1991-05-01,0
rosen lab,blcmr,1991,n.6,1991-05-01,0
rosen lab,blcmr,1991,n.7,1991-05-01,0
rosen lab,blcmr,1991,n.8,1991-05-01,0
rosen lab,blcmr,1991,n.9,1991-05-01,0
rosen lab,blcmr,1991,n.1,1991-05-02,0
rosen lab,blcmr,1991,n.10,1991-05-02,0
rosen lab,blcmr,1991,n.2,1991-05-02,0
rosen lab,blcmr,1991,n.3,1991-05-02,0
