owner,study,year,plot_id,date,measure,tissue,value
rosen lab,blcmr,1991,101,1991-05-31,biomdry_Mgha,tuber,0
rosen lab,blcmr,1991,101,1991-05-31,biomdry_Mgha,vine,0.106776647110884
rosen lab,blcmr,1991,101,1991-05-31,biomdry_Mgha,wholeplant,0.106776647110884
rosen lab,blcmr,1991,101,1991-06-12,biomdry_Mgha,tuber,0
rosen lab,blcmr,1991,101,1991-06-12,biomdry_Mgha,vine,0.193747968272706
rosen lab,blcmr,1991,101,1991-06-12,biomdry_Mgha,wholeplant,0.193747968272706
rosen lab,blcmr,1991,101,1991-06-24,biomdry_Mgha,tuber,0.0861101956673304
rosen lab,blcmr,1991,101,1991-06-24,biomdry_Mgha,vine,0.452078555274698
rosen lab,blcmr,1991,101,1991-06-24,biomdry_Mgha,wholeplant,0.5381887509420283
rosen lab,blcmr,1991,101,1991-07-02,biomdry_Mgha,tuber,0.895546079774177
rosen lab,blcmr,1991,101,1991-07-02,biomdry_Mgha,vine,0.904157110549395
rosen lab,blcmr,1991,101,1991-07-02,biomdry_Mgha,wholeplant,1.799703190323572
rosen lab,blcmr,1991,101,1991-07-16,biomdry_Mgha,tuber,2.26039277637349
rosen lab,blcmr,1991,101,1991-07-16,biomdry_Mgha,vine,0.682208033300577
rosen lab,blcmr,1991,101,1991-07-16,biomdry_Mgha,wholeplant,2.942600809674067
rosen lab,blcmr,1991,101,1991-07-30,biomdry_Mgha,tuber,3.14302174956058
rosen lab,blcmr,1991,101,1991-07-30,biomdry_Mgha,vine,0.83957449182011
rosen lab,blcmr,1991,101,1991-07-30,biomdry_Mgha,wholeplant,3.9825962413806897
rosen lab,blcmr,1991,101,1991-08-13,biomdry_Mgha,tuber,5.08050143228764
rosen lab,blcmr,1991,101,1991-08-13,biomdry_Mgha,vine,1.18401505031973
rosen lab,blcmr,1991,101,1991-08-13,biomdry_Mgha,wholeplant,6.2645164826073705
rosen lab,blcmr,1991,101,1991-09-05,biomdry_Mgha,tuber,6.404393893461
rosen lab,blcmr,1991,101,1991-09-05,biomdry_Mgha,vine,2.27742967374981
rosen lab,blcmr,1991,101,1991-09-05,biomdry_Mgha,wholeplant,8.68182356721081
rosen lab,blcmr,1991,102,1991-05-31,biomdry_Mgha,tuber,0
rosen lab,blcmr,1991,102,1991-05-31,biomdry_Mgha,vine,0.108929404804688
rosen lab,blcmr,1991,102,1991-05-31,biomdry_Mgha,wholeplant,0.108929404804688
rosen lab,blcmr,1991,102,1991-06-12,biomdry_Mgha,tuber,0
rosen lab,blcmr,1991,102,1991-06-12,biomdry_Mgha,vine,0.150692814396615
rosen lab,blcmr,1991,102,1991-06-12,biomdry_Mgha,wholeplant,0.150692814396615
rosen lab,blcmr,1991,102,1991-06-24,biomdry_Mgha,tuber,0.215275545210752
rosen lab,blcmr,1991,102,1991-06-24,biomdry_Mgha,vine,1.95900669924085
rosen lab,blcmr,1991,102,1991-06-24,biomdry_Mgha,wholeplant,2.174282244451602
rosen lab,blcmr,1991,102,1991-07-02,biomdry_Mgha,tuber,0.170067689683282
rosen lab,blcmr,1991,102,1991-07-02,biomdry_Mgha,vine,1.16248803380594
rosen lab,blcmr,1991,102,1991-07-02,biomdry_Mgha,wholeplant,1.332555723489222
rosen lab,blcmr,1991,102,1991-07-16,biomdry_Mgha,tuber,3.65968359607367
rosen lab,blcmr,1991,102,1991-07-16,biomdry_Mgha,vine,4.85166339591683
rosen lab,blcmr,1991,102,1991-07-16,biomdry_Mgha,wholeplant,8.5113469919905
rosen lab,blcmr,1991,102,1991-07-30,biomdry_Mgha,tuber,3.35829751894104
rosen lab,blcmr,1991,102,1991-07-30,biomdry_Mgha,vine,3.44440782669322
rosen lab,blcmr,1991,102,1991-07-30,biomdry_Mgha,wholeplant,6.80270534563426
rosen lab,blcmr,1991,102,1991-08-13,biomdry_Mgha,tuber,6.1568791583414
rosen lab,blcmr,1991,102,1991-08-13,biomdry_Mgha,vine,3.57357328832149
rosen lab,blcmr,1991,102,1991-08-13,biomdry_Mgha,wholeplant,9.730452446662891
rosen lab,blcmr,1991,102,1991-09-05,biomdry_Mgha,tuber,12.6241728285764
rosen lab,blcmr,1991,102,1991-09-05,biomdry_Mgha,vine,5.85323905485194
rosen lab,blcmr,1991,102,1991-09-05,biomdry_Mgha,wholeplant,18.47741188342834
rosen lab,blcmr,1991,103,1991-05-31,biomdry_Mgha,tuber,0
rosen lab,blcmr,1991,103,1991-05-31,biomdry_Mgha,vine,0.186859121235562
rosen lab,blcmr,1991,103,1991-05-31,biomdry_Mgha,wholeplant,0.186859121235562
rosen lab,blcmr,1991,103,1991-06-12,biomdry_Mgha,tuber,0
rosen lab,blcmr,1991,103,1991-06-12,biomdry_Mgha,vine,0.602771369671313
rosen lab,blcmr,1991,103,1991-06-12,biomdry_Mgha,wholeplant,0.602771369671313
rosen lab,blcmr,1991,103,1991-06-24,biomdry_Mgha,tuber,0.602771369671313
rosen lab,blcmr,1991,103,1991-06-24,biomdry_Mgha,vine,2.23886463901119
rosen lab,blcmr,1991,103,1991-06-24,biomdry_Mgha,wholeplant,2.841636008682503
rosen lab,blcmr,1991,103,1991-07-02,biomdry_Mgha,tuber,1.82338402933725
rosen lab,blcmr,1991,103,1991-07-02,biomdry_Mgha,vine,3.91801451933022
