index,owner,study,location,variety,date
1,Bohman,blcmr,Minnesota,Russet Burbank,1991-05-31
2,Bohman,blcmr,Minnesota,Russet Burbank,1991-06-12
3,Bohman,blcmr,Minnesota,Russet Burbank,1991-06-24
4,Bohman,blcmr,Minnesota,Russet Burbank,1991-07-02
5,Bohman,blcmr,Minnesota,Russet Burbank,1991-07-16
6,Bohman,blcmr,Minnesota,Russet Burbank,1991-07-30
7,Bohman,blcmr,Minnesota,Russet Burbank,1991-08-13
8,Bohman,blcmr,Minnesota,Russet Burbank,1991-09-05
9,Bohman,blcmr,Minnesota,Russet Burbank,1992-05-27
10,Bohman,blcmr,Minnesota,Russet Burbank,1992-06-10
11,Bohman,blcmr,Minnesota,Russet Burbank,1992-06-25
12,Bohman,blcmr,Minnesota,Russet Burbank,1992-07-17
13,Bohman,blcmr,Minnesota,Russet Burbank,1992-08-05
14,Bohman,blcmr,Minnesota,Russet Burbank,1992-08-26
15,Bohman,blcmr,Minnesota,Russet Burbank,1992-09-08
16,Bohman,chloro,Minnesota,Russet Burbank,2016-06-27
17,Bohman,chloro,Minnesota,Russet Burbank,2016-07-12
18,Bohman,chloro,Minnesota,Russet Burbank,2016-07-25
19,Bohman,chloro,Minnesota,Russet Burbank,2016-08-02
20,Bohman,chloro,Minnesota,Russet Burbank,2016-08-09
21,Bohman,chloro,Minnesota,Russet Burbank,2016-09-13
22,Bohman,esn-nni,Minnesota,Russet Burbank,2020-06-24
23,Bohman,esn-nni,Minnesota,Russet Burbank,2020-07-07
24,Bohman,esn-nni,Minnesota,Russet Burbank,2020-07-22
25,Bohman,esn-nni,Minnesota,Russet Burbank,2020-08-04
26,Bohman,nni,Minnesota,Russet Burbank,2019-06-25
27,Bohman,nni,Minnesota,Russet Burbank,2019-07-09
28,Bohman,nni,Minnesota,Russet Burbank,2019-07-23
29,Bohman,nni,Minnesota,Russet Burbank,2019-08-06
30,Bohman,nni,Minnesota,Russet Burbank,2019-08-21
31,Bohman,nni,Minnesota,Russet Burbank,2019-09-16
32,Bohman,sanjay,Minnesota,Clearwater,2018-06-26
33,Bohman,sanjay,Minnesota,Clearwater,2018-07-10
34,Bohman,sanjay,Minnesota,Clearwater,2018-07-18
35,Bohman,sanjay,Minnesota,Clearwater,2018-08-01
36,Bohman,sanjay,Minnesota,Clearwater,2018-09-13
37,Bohman,sanjay,Minnesota,Clearwater,2019-06-26
38,Bohman,sanjay,Minnesota,Clearwater,2019-07-11
39,Bohman,sanjay,Minnesota,Clearwater,2019-07-24
40,Bohman,sanjay,Minnesota,Clearwater,2019-08-07
41,Bohman,sanjay,Minnesota,Clearwater,2019-09-16
42,Bohman,sanjay,Minnesota,Russet Burbank,2018-06-26
43,Bohman,sanjay,Minnesota,Russet Burbank,2018-07-10
44,Bohman,sanjay,Minnesota,Russet Burbank,2018-07-18
45,Bohman,sanjay,Minnesota,Russet Burbank,2018-08-01
46,Bohman,sanjay,Minnesota,Russet Burbank,2018-09-13
47,Bohman,sanjay,Minnesota,Russet Burbank,2019-06-26
48,Bohman,sanjay,Minnesota,Russet Burbank,2019-07-11
49,Bohman,sanjay,Minnesota,Russet Burbank,2019-07-24
50,Bohman,sanjay,Minnesota,Russet Burbank,2019-08-07
51,Bohman,sanjay,Minnesota,Russet Burbank,2019-09-16
52,Bohman,sanjay,Minnesota,Umatilla,2018-06-26
53,Bohman,sanjay,Minnesota,Umatilla,2018-07-10
54,Bohman,sanjay,Minnesota,Umatilla,2018-07-18
55,Bohman,sanjay,Minnesota,Umatilla,2018-08-01
56,Bohman,sanjay,Minnesota,Umatilla,2018-09-13
57,Bohman,sanjay,Minnesota,Umatilla,2019-06-26
