owner,study,location,variety,count_0,count_1,count_2
Bohman,sanjay,Minnesota,Clearwater,10,10,2
Bohman,vxn,Minnesota,Dakota Russet,14,14,3
Bohman,vxn,Minnesota,Easton,14,14,9
Bohman,blcmr,Minnesota,Russet Burbank,15,11,9
Bohman,chloro,Minnesota,Russet Burbank,6,6,1
Bohman,esn-nni,Minnesota,Russet Burbank,4,4,1
Bohman,nni,Minnesota,Russet Burbank,6,6,3
Bohman,sanjay,Minnesota,Russet Burbank,10,10,2
Bohman,vxn,Minnesota,Russet Burbank,14,14,7
Bohman,sanjay,Minnesota,Umatilla,10,10,3
Giletto,Giletto,Argentina,Bannock Russet,14,13,9
Giletto,Giletto,Argentina,Gem Russet,19,18,13
Giletto,Giletto,Argentina,Innovator,19,18,11
Giletto,Giletto,Argentina,Markies Russet,9,9,6
Giletto,Giletto,Argentina,Umatilla Russet,14,14,11
Giletto,Drummond,Canada,Russet Burbank,9,7,2
Giletto,Hartland,Canada,Russet Burbank,9,7,3
Giletto,Jacksonville,Canada,Russet Burbank,10,8,7
Giletto,London,Canada,Russet Burbank,10,8,7
Giletto,Drummond,Canada,Shepody,10,8,6
Giletto,Hartland,Canada,Shepody,9,7,4
Giletto,Jacksonville,Canada,Shepody,10,8,7
Giletto,London,Canada,Shepody,10,7,7
