location,variety,location:variety,alpha1_0.05,alpha1_0.5,alpha1_0.95,alpha2_0.05,alpha2_0.5,alpha2_0.95
Argentina,.,.,4.7270468786674495,4.949465343715868,5.180440684423079,0.14301613384569592,0.17432931458059409,0.20826310788096047
Argentina,Bannock Russet,Argentina_Bannock.Russet,4.719074551287325,4.954742074187408,5.198559450018508,0.11792480540543583,0.13984144373455376,0.16271827248266613
Argentina,Gem Russet,Argentina_Gem.Russet,4.711680680125183,4.951758167467641,5.194325159863241,0.140160258186284,0.17863986329275472,0.20624402466831926
Argentina,Innovator,Argentina_Innovator,4.6991587592366155,4.939958772708502,5.182012553906416,0.17679261280397202,0.21149692859856012,0.2523059190406531
Argentina,Markies Russet,Argentina_Markies.Russet,4.721597989408999,4.957789311492203,5.200063674562299,0.12123409074414082,0.15466939606595512,0.18346030808107142
Argentina,Umatilla Russet,Argentina_Umatilla.Russet,4.711602648709228,4.948445381112508,5.190801362479064,0.13066005546951862,0.16507603383601255,0.20575999375039125
Belgium,.,.,4.460610848779371,4.7439583534821566,5.0003339619026494,0.5006294085780659,0.5610503606560993,0.6287637641770343
Belgium,Bintje,Belgium_Bintje,4.416395766454987,4.71342559216133,4.986897912582201,0.5305550359710269,0.5788350178344073,0.6401161205835408
Belgium,Charlotte,Belgium_Charlotte,4.445005438976185,4.735481239886623,5.002744250590412,0.4991534569549539,0.559415323222834,0.6363279040243693
Canada,.,.,4.498775285871758,4.767819287919938,5.017911402688338,0.3998328779763785,0.4478319621110669,0.49501161395787574
Canada,Russet Burbank,Canada_Russet.Burbank,4.4568609438251805,4.741366733958743,5.006341673499781,0.4466949791541521,0.4885891241818863,0.5309200950038452
Canada,Shepody,Canada_Shepody,4.4814555723319085,4.762289108802598,5.026988160470696,0.37568333539665555,0.41234340080708753,0.44725700359528814
Minnesota,.,.,4.470385310039342,4.75007527840172,5.00253802499945,0.5384971084742439,0.5809162444627456,0.6231940467266595
Minnesota,Clearwater,Minnesota_Clearwater,4.452925942564457,4.747281221582482,5.013122325093836,0.5298587545706243,0.5842505379002836,0.646490102041249
Minnesota,Dakota Russet,Minnesota_Dakota.Russet,4.450549275550767,4.741104677742561,5.0096782008306215,0.5569839407855718,0.5979447512560117,0.6460129227818054
Minnesota,Easton,Minnesota_Easton,4.449780539817846,4.743223096370963,5.009741237233372,0.5414139787526139,0.5907273044337602,0.63586317629955
Minnesota,Russet Burbank,Minnesota_Russet.Burbank,4.445485097697986,4.735898624585426,5.000709521285997,0.5315076614160017,0.5638846731717819,0.5946900093958706
Minnesota,Umatilla,Minnesota_Umatilla,4.456333533086842,4.7472405853925235,5.013562896366563,0.5209216483684166,0.5858251865986881,0.6546069078323425
