location,variety,index,date,study,year,rate_n_kgha,biomass_Mgha,n_pct
Belgium,Bintje,1,1999-06-28,Franière,1999,  0.0, 1.874,3.676
Belgium,Bintje,1,1999-06-28,Franière,1999,119.0, 2.000,3.813
Belgium,Bintje,1,1999-06-28,Franière,1999,170.0, 1.752,3.966
Belgium,Bintje,1,1999-06-28,Franière,1999,221.0, 1.974,4.427
Belgium,Bintje,2,1997-06-12,Gembloux,1997,  0.0, 0.788,3.785
Belgium,Bintje,2,1997-06-12,Gembloux,1997, 75.0, 1.151,4.446
Belgium,Bintje,2,1997-06-12,Gembloux,1997,113.0, 1.136,4.801
Belgium,Bintje,2,1997-06-12,Gembloux,1997,150.0, 1.197,4.852
Belgium,Bintje,2,1997-06-12,Gembloux,1997,188.0, 1.251,4.845
Belgium,Bintje,3,1997-06-24,Gembloux,1997,  0.0, 2.167,2.485
Belgium,Bintje,3,1997-06-24,Gembloux,1997, 75.0, 3.078,3.526
Belgium,Bintje,3,1997-06-24,Gembloux,1997,113.0, 3.379,3.890
Belgium,Bintje,3,1997-06-24,Gembloux,1997,150.0, 3.329,3.923
Belgium,Bintje,3,1997-06-24,Gembloux,1997,188.0, 3.305,3.990
Belgium,Bintje,4,1997-07-03,Gembloux,1997,  0.0, 3.420,1.877
Belgium,Bintje,4,1997-07-03,Gembloux,1997, 75.0, 5.320,2.787
Belgium,Bintje,4,1997-07-03,Gembloux,1997,113.0, 4.870,3.097
Belgium,Bintje,4,1997-07-03,Gembloux,1997,150.0, 5.186,3.349
Belgium,Bintje,4,1997-07-03,Gembloux,1997,188.0, 5.027,3.527
Belgium,Bintje,5,1997-07-16,Gembloux,1997,  0.0, 6.435,1.248
Belgium,Bintje,5,1997-07-16,Gembloux,1997, 75.0, 8.816,1.861
Belgium,Bintje,5,1997-07-16,Gembloux,1997,113.0, 8.171,2.151
Belgium,Bintje,5,1997-07-16,Gembloux,1997,150.0, 8.254,2.462
Belgium,Bintje,5,1997-07-16,Gembloux,1997,188.0, 8.841,2.570
Belgium,Bintje,6,1997-07-30,Gembloux,1997,  0.0, 9.369,1.039
Belgium,Bintje,6,1997-07-30,Gembloux,1997, 75.0,12.364,1.394
Belgium,Bintje,6,1997-07-30,Gembloux,1997,113.0,10.852,1.550
Belgium,Bintje,6,1997-07-30,Gembloux,1997,150.0,12.339,1.809
Belgium,Bintje,6,1997-07-30,Gembloux,1997,188.0,12.706,1.755
Belgium,Bintje,7,1998-06-22,Gembloux,1998,  0.0, 0.932,2.903
Belgium,Bintje,7,1998-06-22,Gembloux,1998, 88.0, 1.776,4.579
Belgium,Bintje,7,1998-06-22,Gembloux,1998,132.0, 1.658,4.500
Belgium,Bintje,7,1998-06-22,Gembloux,1998,176.0, 1.824,5.231
Belgium,Bintje,7,1998-06-22,Gembloux,1998,220.0, 1.664,5.144
Belgium,Bintje,8,1998-07-01,Gembloux,1998,  0.0, 2.436,1.782
Belgium,Bintje,8,1998-07-01,Gembloux,1998, 88.0, 3.592,2.675
Belgium,Bintje,8,1998-07-01,Gembloux,1998,132.0, 3.411,2.913
Belgium,Bintje,8,1998-07-01,Gembloux,1998,176.0, 3.658,3.411
Belgium,Bintje,8,1998-07-01,Gembloux,1998,220.0, 3.662,3.362
Belgium,Bintje,9,1998-07-13,Gembloux,1998,  0.0, 5.158,1.097
